ra,dec,z
127.508419488625,49.6860652777381,0.02379248
139.29380926452,57.3023218838409,0.09036942
260.32593698769,30.2334837056011,0.02304262
247.045478140407,47.0917013534432,0.02369599
121.880080353443,46.2242083585804,0.02380868
156.799361430152,63.9688932171371,0.02234438
119.562244827721,44.4378272852633,0.02301558
133.995410791016,56.2262292467698,0.09039813
155.937460916232,64.2052897706869,0.0223362
157.284682453906,64.6715593542583,0.02280653
158.74845778338,64.8586067257318,0.02356856
159.383277972671,65.0182655560779,0.02249103
160.409488885682,65.1871528133382,0.02245009
121.29288923152,47.0512839962171,0.02284235
121.67878515747,47.3121378557917,0.02258399
150.981468623559,63.5864538031806,0.02368337
153.737216629205,64.3630371635585,0.02291741
155.642556447005,64.6105689395817,0.02240449
178.829359958961,67.4025466171975,0.02214544
207.182950857488,65.9935444964152,0.09045093
157.348898324283,65.5410738887921,0.0227672
182.547773928513,68.0829899096369,0.02252004
182.905433709579,67.9420635856262,0.02227204
119.976827680332,47.413121121753,0.02228072
120.138570852302,47.3707992829714,0.022399
260.833085474874,59.6429471652034,0.02299031
260.862366293612,59.4550244214256,0.02268103
122.178063542789,46.3081126457746,0.02363327
121.4345473934,46.0244785732532,0.02245461
121.279301942715,46.1516959894845,0.02299747
121.319674601504,46.7070089690649,0.02302342
195.717127567229,0.4069277599697,0.02091426
237.927604249963,1.15488401449068,0.08945534
184.071996248458,-1.16267420600358,0.08940969
184.152964310552,-1.08233966684496,0.02136928
245.138814048416,-1.0956254314423,0.02051811
184.14764607854,-0.70978508430285,0.02104224
184.478075434042,-0.744736231911705,0.02113602
203.589697742704,-0.741680032128178,0.02184831
226.995158609892,-0.663718198782247,0.08942275
183.833969469872,-0.398050261293963,0.02078613
183.798817088532,-0.400106381033148,0.02087503
202.212350493857,-0.36546274911196,0.02179444
202.452455017509,-0.294161985324678,0.02124054
204.564104821911,-0.398550148561042,0.02204254
205.486783052769,-0.315386189906229,0.08941884
205.597100852403,-0.233295176895386,0.08952934
205.62254772327,-0.312664138134002,0.08948262
232.2508539706,-0.386045084721022,0.08946303
183.251238772885,0.0437618193129674,0.02097693
184.627407857873,0.0132340863140159,0.02129653
203.136510521827,0.0608487230960422,0.02165666
205.972660545228,0.142944567025522,0.08940142
238.463903952953,0.0590828895849305,0.0894393
187.780964892101,0.463124799834303,0.02137726
187.841752284451,0.609975665158829,0.02185817
200.400291989356,0.573022304562373,0.02013292
206.39181800151,0.43148710870781,0.08945666
183.128479433412,0.894221058989688,0.02115763
202.724072580367,0.938029346750794,0.02162852
146.71420341856,-1.04127490052981,0.02122228
164.630185264598,-1.00687241909937,0.02147934
180.367565309243,-0.891753350208895,0.02084633
184.466807153011,-0.907405290617685,0.0211381
184.514339059338,-0.913058085658668,0.02104147
195.951990085667,-0.966004746612793,0.08944633
202.208818443475,-0.908488084241867,0.02165733
163.115504874899,-0.606720629277914,0.02149814
179.670727587947,-0.597193978954187,0.02139761
179.80368305327,-0.523819565383534,0.02133708
179.984409710576,-0.548208566283069,0.02175559
180.143164996003,-0.531374912199967,0.0208782
183.869950460732,-0.499615978354602,0.02085222
209.31876373478,-0.443829847349018,0.08952905
121.647740701138,-0.203824914025129,0.08949441
146.32314422806,-0.0299755474473521,0.02170876
148.979492200151,-0.190281126634072,0.02094694
151.220749066075,-0.05833497845554,0.02147727
159.30949656766,-0.0874401366456795,0.02126185
181.853337598094,-0.158406966261437,0.02123231
181.781503862995,-0.020176539548402,0.02087438
183.361823016748,-0.0967044238920055,0.0209665
183.516496733427,-0.0696471153805847,0.02094281
191.915079257013,-0.128879314938297,0.08943774
191.954566431928,-0.100263147406816,0.08953245
227.868031868709,-0.0662495632221695,0.08940618
145.826544281197,0.373109947308522,0.02156401
147.192888304251,0.271932852138655,0.02016207
147.305556696892,0.217659364287284,0.0199993
151.163865941742,0.281521622466002,0.02169315
154.822978892383,0.344424492774279,0.0208566
155.47167356482,0.295374634774652,0.02148222
155.46497563143,0.410105974093616,0.02134296
180.075007352988,0.294986412791635,0.02065824
182.355659603327,0.308192697867655,0.0201692
182.869045657921,0.378648480040233,0.02035251
182.904344260596,0.322504788019185,0.02029996
183.193519504146,0.409065500788215,0.02046719
183.968749672139,0.400698261643544,0.02104107
189.759222867524,0.257056612188386,0.0219085
146.530885183595,0.781934581547694,0.02025769
146.806815105269,0.665611359790035,0.0200758
146.842231508342,0.74082125510891,0.02013125
148.335241597554,0.720646674802786,0.02078303
148.44050913004,0.786736988270132,0.02051127
148.860022178506,0.748604768439327,0.08944283
151.457643610602,0.633353147320226,0.02091974
151.461111453902,0.631802084062161,0.02125578
151.480550099935,0.652201286987338,0.02105822
151.536195727903,0.688364116933594,0.02119605
151.654714030385,0.632609180168478,0.02122282
156.425556452494,0.763026981934547,0.02161491
156.588064770496,0.684936069119849,0.02150348
172.128652143359,0.782509611635281,0.01992587
173.090968496633,0.804642388541868,0.0199593
182.015948291939,0.696335959384518,0.01977499
182.421104013206,0.657701843037213,0.02141499
182.629706020971,0.672774881551943,0.01996788
182.551381754587,0.754024195712804,0.01998166
183.621764943837,0.830111041921193,0.02045906
183.689353536178,0.743513519353801,0.02078847
184.855129965571,0.630965458452032,0.02166561
184.817435590874,0.648160785204223,0.02141541
203.186130362231,0.768877434397433,0.02196538
147.895864049868,1.11206684666239,0.02054176
148.047759290826,1.09545041416047,0.0202142
152.734948889145,1.0720624138123,0.02156757
153.105258304636,1.24580892516689,0.02145526
154.038945639043,1.19116659206795,0.02155589
154.605763539167,1.18218021807341,0.0216586
155.600556206058,1.19823180703168,0.02162867
156.149004018846,1.10981401581018,0.02170384
156.854237723075,1.24176407504709,0.02206458
156.931708610366,1.19395393621861,0.02171454
171.674240046454,1.24146661248659,0.01977853
180.873036707835,1.22935398171852,0.02004178
181.227567220662,1.21560568188134,0.0212666
182.655197904548,1.06492733323942,0.02179737
183.291296093305,1.19232447739506,0.02130958
184.898675495907,1.21660861962439,0.0212823
24.2658848572546,13.0544049258927,0.02127111
27.8863891280256,12.6996441835984,0.0204739
11.3507009920468,14.2597197761413,0.08938562
8.89726558835247,14.737264716314,0.08941453
21.2276467532821,14.2184151693864,0.01973011
22.2326680442754,14.0765211646067,0.02115715
22.4554663975542,14.0047726938408,0.02118671
22.4525344558094,14.0020287881296,0.02141511
28.6017017320602,13.5411199823564,0.02071127
28.7474826216646,13.4677805463107,0.02082562
28.7482932142629,13.4829614336267,0.02128946
33.5641175055156,12.947136406492,0.02153997
21.2800641827257,14.6187586731074,0.02202788
22.4204169008028,14.5051031407303,0.02162328
21.305237695811,14.8724784689199,0.02124841
21.3024535014147,14.8759787960595,0.02113804
21.8794237081402,14.8198186874053,0.02161118
42.5539637925483,-8.16399726479635,0.02159646
21.3422247266424,14.8387203954184,0.02186389
21.6889420977013,14.6247805719033,0.02155961
21.7897138804461,14.7762794937744,0.02144653
21.7922547229822,14.7714091846133,0.02117918
56.438194838341,-7.25744430968823,0.02166905
57.104097857415,-6.62606425391279,0.02096992
57.5816314370514,-6.54119647867956,0.02068673
55.6670868907429,-6.38182130292776,0.0211722
45.6458667452526,-7.36258190400016,0.01996847
